epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,181.099,1.13459,2.44134,3.07209,1.16661,0,0.63025,0.48039,0.51556,0.38692,0.62416,0.46975,0.49651,0.34701,0.94346,1.84615,1.48191,1.05645,0,0.000255401,0.000255401,0.000255401
2,339.461,1.07088,2.0908,1.81222,1.09842,0,0.74769,0.61042,0.66765,0.49211,0.73434,0.59597,0.63353,0.44296,0.89822,1.70733,1.27603,1.04866,0,0.000501602,0.000501602,0.000501602
3,496.939,1.04026,1.98827,1.52789,1.08339,0,0.72219,0.61381,0.6946,0.51636,0.71459,0.59568,0.65716,0.45283,0.89094,1.71616,1.16304,1.0364,0,0.000737652,0.000737652,0.000737652
4,682.221,1.00288,1.89852,1.31446,1.05698,0,0.77173,0.66574,0.75874,0.56154,0.75535,0.65099,0.72018,0.50333,0.84949,1.51055,1.00091,1.00695,0,0.000723321,0.000723321,0.000723321
5,845.852,0.96069,1.79182,1.18674,1.04297,0,0.75968,0.67754,0.74874,0.54722,0.73844,0.65541,0.70618,0.4853,0.85318,1.48176,1.0647,1.02216,0,0.000708095,0.000708095,0.000708095
6,999.716,0.91923,1.70038,1.08443,1.02425,0,0.83643,0.73675,0.81998,0.62675,0.83734,0.71545,0.79887,0.57231,0.79328,1.33682,0.80864,0.97368,0,0.000692869,0.000692869,0.000692869
7,1164.69,0.89929,1.6662,1.02767,1.01455,0,0.84512,0.76219,0.84038,0.64199,0.83299,0.73461,0.802,0.576,0.76467,1.28461,0.76613,0.9694,0,0.000677643,0.000677643,0.000677643
8,1345.18,0.87049,1.57913,0.95273,0.99796,0,0.84995,0.78747,0.85932,0.66836,0.84705,0.7644,0.82986,0.59625,0.73208,1.26979,0.71841,0.95699,0,0.000662417,0.000662417,0.000662417
9,1505.11,0.85396,1.56979,0.92124,0.99367,0,0.88421,0.79041,0.87436,0.68102,0.88002,0.77288,0.84467,0.6281,0.70555,1.17077,0.66691,0.93932,0,0.00064719,0.00064719,0.00064719
10,1660.83,0.83606,1.49748,0.88153,0.98951,0,0.87595,0.80249,0.8813,0.69491,0.87421,0.78339,0.85929,0.64095,0.68945,1.11331,0.64056,0.93837,0,0.000631964,0.000631964,0.000631964
