epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,33.92,0.72451,1.98019,3.59183,1.07551,0,0.02864,0.75,0.55113,0.49574,0.02864,0.75,0.55113,0.52411,0.37569,0.77034,2.90655,0.84005,0,0.000251102,0.000251102,0.000251102
2,63.2445,0.64291,0.98409,1.85281,0.97349,0,0.95402,0.73881,0.80069,0.74083,0.95402,0.73881,0.80069,0.75722,0.39455,0.54838,1.38784,0.8659,0,0.000497388,0.000497388,0.000497388
3,92.829,0.62692,0.91162,1.32902,0.95978,0,0.86222,0.75739,0.91969,0.83022,0.86222,0.75739,0.91461,0.82345,0.39863,0.51133,1.15134,0.87191,0,0.000733523,0.000733523,0.000733523
4,122.048,0.57072,0.78669,1.07613,0.92683,0,0.91183,0.79094,0.83828,0.73695,0.91183,0.79094,0.83828,0.77777,0.41298,0.44973,0.83871,0.89961,0,0.000723321,0.000723321,0.000723321
5,149.527,0.52352,0.7082,0.96074,0.91015,0,0.87799,0.70502,0.90797,0.79733,0.87799,0.70502,0.90797,0.8105,0.39655,0.52405,0.84338,0.87221,0,0.000708095,0.000708095,0.000708095
6,175.708,0.52943,0.70012,0.90283,0.91517,0,0.84158,0.8916,0.91971,0.80795,0.84158,0.8916,0.9203,0.8067,0.41511,0.48635,0.59708,0.87179,0,0.000692869,0.000692869,0.000692869
7,202.432,0.51064,0.66228,0.84518,0.90133,0,0.93719,0.86011,0.91054,0.84091,0.93719,0.86011,0.91343,0.84786,0.34843,0.48519,0.54017,0.84127,0,0.000677643,0.000677643,0.000677643
8,228.414,0.48685,0.61873,0.75708,0.89462,0,0.75314,0.96154,0.94571,0.84926,0.85759,0.84078,0.92404,0.84527,0.32056,0.42636,0.51555,0.83651,0,0.000662417,0.000662417,0.000662417
9,254.741,0.47189,0.64241,0.69316,0.88642,0,0.72941,0.75057,0.83946,0.7676,0.72941,0.75057,0.84692,0.78848,0.33092,0.4284,0.55587,0.84098,0,0.00064719,0.00064719,0.00064719
10,280.846,0.45313,0.57173,0.64725,0.88369,0,0.93632,0.79151,0.90033,0.82297,0.93632,0.79151,0.84541,0.7942,0.32935,0.54477,0.5225,0.83469,0,0.000631964,0.000631964,0.000631964
11,307.671,0.43353,0.55581,0.61537,0.87682,0,0.99185,0.75,0.87311,0.78016,0.99185,0.75,0.79308,0.77077,0.33082,0.42094,0.61929,0.84256,0,0.000616738,0.000616738,0.000616738
12,334.849,0.42537,0.55068,0.59271,0.88168,0,0.97056,0.79748,0.88899,0.82983,0.97056,0.79748,0.88899,0.83478,0.296,0.40374,0.52208,0.82623,0,0.000601512,0.000601512,0.000601512
