epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,28.7926,0.83147,2.16733,1.71233,1.17815,0,0.72776,0.70647,0.71517,0.6726,0.72776,0.70647,0.71636,0.6683,0.36963,0.73425,0.64258,0.93629,0,0.000251102,0.000251102,0.000251102
2,58.7643,0.52933,0.91339,0.72891,0.96163,0,0.80908,0.77198,0.79862,0.75622,0.77773,0.79481,0.82219,0.76677,0.29146,0.38485,0.65204,0.83527,0,0.000497388,0.000497388,0.000497388
3,91.503,0.51931,0.79836,0.61782,0.94955,0,0.73606,0.76588,0.80917,0.76607,0.81091,0.75962,0.82391,0.77415,0.29795,0.39434,0.49182,0.83556,0,0.000733523,0.000733523,0.000733523
4,124.365,0.47633,0.71826,0.53028,0.91556,0,0.66702,0.7767,0.79036,0.71972,0.66702,0.7767,0.79358,0.7276,0.32095,0.44114,0.65071,0.85831,0,0.000723321,0.000723321,0.000723321
5,156.284,0.44514,0.66398,0.47387,0.90143,0,0.71286,0.80753,0.81274,0.76459,0.90072,0.78767,0.82309,0.76084,0.27792,0.51684,0.41685,0.83976,0,0.000708095,0.000708095,0.000708095
6,188.366,0.44064,0.64508,0.42855,0.89572,0,0.75877,0.75576,0.80687,0.7563,0.75877,0.75576,0.80949,0.76672,0.32484,0.4589,0.44927,0.8476,0,0.000692869,0.000692869,0.000692869
7,217.333,0.42815,0.60433,0.41641,0.88248,0,0.76192,0.81344,0.81905,0.76843,0.75592,0.82692,0.82369,0.78754,0.27343,0.36085,0.40482,0.83555,0,0.000677643,0.000677643,0.000677643
8,246.301,0.40891,0.55939,0.3776,0.88034,0,0.88449,0.82692,0.88613,0.83376,0.88449,0.82692,0.90305,0.84015,0.26501,0.37621,0.3658,0.81786,0,0.000662417,0.000662417,0.000662417
9,275.459,0.40388,0.60566,0.39074,0.88095,0,0.85957,0.8534,0.88718,0.8259,0.89113,0.86538,0.91879,0.83659,0.30266,0.38205,0.4042,0.83648,0,0.00064719,0.00064719,0.00064719
10,304.749,0.39276,0.53962,0.35865,0.87682,0,0.91371,0.77131,0.84475,0.77984,0.91371,0.77131,0.88627,0.79142,0.25894,0.34928,0.42161,0.82333,0,0.000631964,0.000631964,0.000631964
11,332.977,0.38668,0.52578,0.34577,0.87168,0,0.9695,0.71824,0.78458,0.7669,0.957,0.73946,0.78841,0.76014,0.24038,0.37565,0.47098,0.81801,0,0.000616738,0.000616738,0.000616738
12,359.55,0.37587,0.52571,0.34361,0.87852,0,0.85305,0.79095,0.85028,0.81752,0.85305,0.79095,0.86878,0.81234,0.22303,0.39631,0.35998,0.81351,0,0.000601512,0.000601512,0.000601512
13,385.754,0.37978,0.51795,0.34291,0.87229,0,0.78826,0.78225,0.82516,0.7911,0.78826,0.78225,0.83084,0.78998,0.24939,0.39317,0.40606,0.81836,0,0.000586286,0.000586286,0.000586286
14,411.458,0.36408,0.48357,0.32019,0.86216,0,0.85849,0.81563,0.84175,0.79595,0.85849,0.81563,0.84803,0.79098,0.26024,0.40993,0.38365,0.83031,0,0.000571059,0.000571059,0.000571059
15,437.345,0.35755,0.46208,0.3268,0.8672,0,0.90844,0.76923,0.87128,0.83001,0.90844,0.76923,0.88197,0.82422,0.22153,0.37457,0.3754,0.81537,0,0.000555833,0.000555833,0.000555833
16,463.15,0.35712,0.49307,0.31365,0.86667,0,0.905,0.78016,0.86785,0.80987,0.905,0.78016,0.86127,0.80566,0.23346,0.3948,0.39565,0.82142,0,0.000540607,0.000540607,0.000540607
17,489.107,0.35428,0.47631,0.32963,0.86872,0,0.84899,0.76923,0.82485,0.79756,0.84899,0.76923,0.82485,0.79728,0.22373,0.36109,0.33704,0.81573,0,0.000525381,0.000525381,0.000525381
18,515.282,0.33757,0.43049,0.30057,0.86064,0,0.97814,0.72336,0.7962,0.76786,0.97814,0.72336,0.7962,0.76842,0.22665,0.45562,0.44679,0.81614,0,0.000510155,0.000510155,0.000510155
19,542.716,0.34834,0.48737,0.30386,0.85523,0,0.94656,0.77829,0.82693,0.79488,0.94656,0.77829,0.82693,0.79307,0.22055,0.40145,0.3794,0.80884,0,0.000494928,0.000494928,0.000494928
20,569.976,0.33891,0.46596,0.29965,0.85683,0,0.9356,0.7794,0.8425,0.81118,0.9356,0.7794,0.8425,0.80908,0.2033,0.38119,0.43591,0.80265,0,0.000479702,0.000479702,0.000479702
21,597.145,0.32184,0.44013,0.28165,0.8446,0,0.91942,0.78846,0.83514,0.79862,0.91942,0.78846,0.83514,0.80132,0.22729,0.34769,0.37851,0.81295,0,0.000464476,0.000464476,0.000464476
22,624.085,0.32681,0.43473,0.28049,0.85278,0,0.9558,0.80491,0.86856,0.8308,0.9558,0.80491,0.86856,0.82844,0.22869,0.34538,0.38697,0.80831,0,0.00044925,0.00044925,0.00044925
23,651.229,0.32294,0.4323,0.27738,0.84839,0,0.82161,0.85334,0.91451,0.85694,0.82161,0.85334,0.91451,0.85426,0.21715,0.34584,0.32007,0.80535,0,0.000434024,0.000434024,0.000434024
24,683.514,0.3199,0.43697,0.27477,0.85031,0,0.81521,0.82178,0.87797,0.80768,0.81521,0.82178,0.87797,0.82775,0.22682,0.3317,0.35125,0.81476,0,0.000418797,0.000418797,0.000418797
25,716.318,0.32114,0.41875,0.28265,0.85058,0,0.85928,0.82014,0.85689,0.82853,0.85928,0.82014,0.858,0.82711,0.2034,0.31825,0.33649,0.807,0,0.000403571,0.000403571,0.000403571
26,749.269,0.31362,0.39005,0.26294,0.84423,0,0.90519,0.78309,0.87685,0.8492,0.90519,0.78309,0.87685,0.83824,0.2009,0.37481,0.38157,0.80668,0,0.000388345,0.000388345,0.000388345
27,781.637,0.31745,0.41352,0.27252,0.84815,0,0.90781,0.76923,0.86062,0.81192,0.90781,0.76923,0.86062,0.81377,0.22903,0.376,0.34766,0.82155,0,0.000373119,0.000373119,0.000373119
28,810.7,0.30829,0.41117,0.2625,0.84332,0,0.92173,0.78846,0.8506,0.81352,0.92173,0.78846,0.8506,0.8132,0.22458,0.33741,0.36474,0.82461,0,0.000357893,0.000357893,0.000357893
29,838.841,0.31097,0.42017,0.26313,0.85354,0,0.83601,0.84154,0.84973,0.81564,0.83601,0.84154,0.84973,0.81842,0.20788,0.31787,0.32927,0.80185,0,0.000342666,0.000342666,0.000342666
30,866.282,0.29772,0.38997,0.25642,0.84132,0,0.85844,0.82692,0.86413,0.83049,0.85844,0.82692,0.86413,0.83348,0.20187,0.33788,0.35587,0.7999,0,0.00032744,0.00032744,0.00032744
